run_csv_path,perfect_csv_path,regime_key,case_name,case_type,residual_csv_path,metadata_path,n_nodes_merged,max_abs_residual_overall,status
C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\ip_1and3line_3_arc_78910\Results\combined_8results_10timesteps.csv,C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\Perfect_Structure\Results\combined_8results_10timesteps.csv,G1_S_H,ip_1and3line_3_arc_78910,IMPERFECT,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\ip_1and3line_3_arc_78910\disp_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\ip_1and3line_3_arc_78910\metadata.json,24366,7.999999965767,OK
C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\Ip_1track_1_arc_345\Results\combined_8results_10timesteps.csv,C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\Perfect_Structure\Results\combined_8results_10timesteps.csv,G1_S_H,Ip_1track_1_arc_345,IMPERFECT,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\Ip_1track_1_arc_345\disp_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\Ip_1track_1_arc_345\metadata.json,24366,8.000000030196,OK
C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\ip_2_arc_all_tracks_222\Results\combined_8results_10timesteps.csv,C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\Perfect_Structure\Results\combined_8results_10timesteps.csv,G1_S_H,ip_2_arc_all_tracks_222,IMPERFECT,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\ip_2_arc_all_tracks_222\disp_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\ip_2_arc_all_tracks_222\metadata.json,24366,7.999999930588,OK
C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\ip_3track_1_arc_678\Results\combined_8results_10timesteps.csv,C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\Perfect_Structure\Results\combined_8results_10timesteps.csv,G1_S_H,ip_3track_1_arc_678,IMPERFECT,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\ip_3track_1_arc_678\disp_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\ip_3track_1_arc_678\metadata.json,24366,8.000000089819,OK
C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\ip_first_track_3arc_78910\Results\combined_8results_10timesteps.csv,C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\Perfect_Structure\Results\combined_8results_10timesteps.csv,G1_S_H,ip_first_track_3arc_78910,IMPERFECT,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\ip_first_track_3arc_78910\disp_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\ip_first_track_3arc_78910\metadata.json,24366,7.999999930364,OK
C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\ip_frst_Arc_defect_all_tracks_111\Results\combined_8results_10timesteps.csv,C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\Perfect_Structure\Results\combined_8results_10timesteps.csv,G1_S_H,ip_frst_Arc_defect_all_tracks_111,IMPERFECT,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\ip_frst_Arc_defect_all_tracks_111\disp_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\ip_frst_Arc_defect_all_tracks_111\metadata.json,24366,7.999999929522,OK
C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\Perfect_Structure\Results\combined_8results_10timesteps.csv,C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Big_train\Perfect_Structure\Results\combined_8results_10timesteps.csv,G1_S_H,Perfect_structure,PERFECT,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\Perfect_structure\disp_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_H\Perfect_structure\metadata.json,24366,0.0,OK
C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Small_train\ip_1and3line_3_arc_78910\Results\combined_8results_10timesteps.csv,C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Small_train\Perfect_Structure\Results\combined_8results_10timesteps.csv,G1_S_L,ip_1and3line_3_arc_78910,IMPERFECT,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_L\ip_1and3line_3_arc_78910\disp_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_L\ip_1and3line_3_arc_78910\metadata.json,24366,11.99999999949114,OK
C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Small_train\Ip_1track_1_arc_345\Results\combined_8results_10timesteps.csv,C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Small_train\Perfect_Structure\Results\combined_8results_10timesteps.csv,G1_S_L,Ip_1track_1_arc_345,IMPERFECT,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_L\Ip_1track_1_arc_345\disp_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_L\Ip_1track_1_arc_345\metadata.json,24366,12.0000000015251,OK
C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Small_train\ip_2_arc_all_tracks_222\Results\combined_8results_10timesteps.csv,C:\Users\Priyanshu\Desktop\new_train\One_train_1st_track\Summer\Small_train\Perfect_Structure\Results\combined_8results_10timesteps.csv,G1_S_L,ip_2_arc_all_tracks_222,IMPERFECT,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_L\ip_2_arc_all_tracks_222\disp_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_disp\G1_S_L\ip_2_arc_all_tracks_222\metadata.json,24366,11.9999999987429,OK
