regime_key,case_name,residual_csv_path,candidate_count
G4_W_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_first_track_3arc_78910\stress_residual.csv,708948
G4_W_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_2_arc_all_tracks_222\stress_residual.csv,708948
G4_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_first_track_3arc_78910\stress_residual.csv,698047
G4_W_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_2_arc_all_tracks_222\stress_residual.csv,698044
G4_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_first_track_3arc_78910\stress_residual.csv,691630
G4_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_2_arc_all_tracks_222\stress_residual.csv,691628
G4_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_2_arc_all_tracks_222\stress_residual.csv,669980
G4_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_first_track_3arc_78910\stress_residual.csv,669979
G3_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,339147
G2_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,274051
G1_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,269459
G3_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,269008
G2_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,261097
G2_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,253108
G1_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,251810
G1_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,251460
G3_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,250964
G2_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,242938
G1_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,235392
G3_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,232482
G4_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,218740
G3_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,214405
G3_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_S_L\ip_first_track_3arc_78910\stress_residual.csv,207105
G2_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_L\ip_first_track_3arc_78910\stress_residual.csv,206660
G4_W_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_L\ip_1and3line_3_arc_78910\stress_residual.csv,205144
G1_S_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_S_L\ip_first_track_3arc_78910\stress_residual.csv,201011
G4_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,200541
G2_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_S_H\ip_first_track_3arc_78910\stress_residual.csv,194744
G2_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G2_W_L\ip_first_track_3arc_78910\stress_residual.csv,188511
G3_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G3_W_L\ip_first_track_3arc_78910\stress_residual.csv,188143
G4_W_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G4_W_H\ip_1and3line_3_arc_78910\stress_residual.csv,187276
G1_W_L,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\residuals_stress\G1_W_L\ip_first_track_3arc_78910\stress_residual.csv,186011
